题型,题目,选项（选项之间使用“|”分隔）
填空题,【01物理底座】怎么称呼您？,
填空题,【01物理底座】房屋绝对信息（小区/户型/面积）,
单选题,【01物理底座】预算控制绝对红线范围,15-30万 (极限控价，功能优先)|30-50万 (改善型)|50-80万 (高定级)|80万以上 (奢享级)
填空题,【01物理底座】家庭常住成员构成及孩子年龄段,
单选题,【01物理底座】宠物情况,无宠物|养猫（需预留猫砂盆通风位）|养狗
填空题,【01物理底座】常住男/女主人净身高(cm)及厨房主要操作者惯用手,
单选题,【02空间切割】除了主卧，您家里必须【长期固定摆放床位】的房间有几个？,0个（全屋只需一张主卧床）|1个|2个
多选题,【02空间切割】主卧除了睡眠外，是否必须融合附加功能？,不需要，纯睡眠即可|必须有主卫|步入式衣帽间|独立办公/电竞区
单选题,【02空间切割】对于不需要放固定床的剩余空房间，您的核心诉求是？,独立电竞/影音/书房|纯粹的衣帽/杂物储物间|留空的瑜伽/多功能房
单选题,【02空间切割】为了极致的空间动线与采光，您对【砸除非承重墙】的底线是？,完全接受，格局重组是设计的灵魂|坚决不砸墙，维持开发商原貌
填空题,【03归家系统】您回家后，包包、钥匙、穿过的外套一般习惯放在哪里？,
填空题,【03归家系统】快递或外卖到家后，您通常在哪个区域拆解处理？,
填空题,【03归家系统】下班回家后，您通常是马上开始做家务收拾，还是先瘫一会儿？,
单选题,【03归家系统】是否接受入户做一个 3-5cm 的【下沉式落尘区】？,强烈需要|不需要，我习惯全屋地面平铺
填空题,【04能源与核心区】在家醒着的时候，您最常待的空间是？,
填空题,【04能源与核心区】餐桌的真实使用场景（按高低频排序）？,
填空题,【04能源与核心区】做饭的习惯以及在现居所遇到的最痛点是什么？,
多选题,【04能源与核心区】极度重要！请勾选您已有或必买的【重型电器】,双开大冰箱 (宽度>80cm)|独立热泵烘干机|13套以上大型洗碗机|嵌入式大容量蒸烤箱|24小时不间断 NAS 服务器 / 极路由|全屋软水/前置净水系统
单选题,【04能源与核心区】扫拖机器人是否需要预留【自动上下水基站】？,是的，必须解放双手|不需要，人工加水
填空题,【04能源与核心区】请填写您必买的最庞大/最异型的电器的预估尺寸（长宽高）,
单选题,【05治愈与防御】早上家人是否经常因为同时要用马桶和洗手台而发生严重冲突？,经常，急需分离|偶尔或没感觉
填空题,【05治愈与防御】女主人的化妆与护肤动线习惯是？,
填空题,【05治愈与防御】家人是否有严重鼻炎、哮喘，或对甲醛/粉尘极度敏感？,
单选题,【05治愈与防御】您的睡眠神经是否脆弱（极易被细微声音惊醒）？,对楼上冲水声极度敏感|对窗外车流马路噪音敏感|倒头就睡，完全不敏感
单选题,【05治愈与防御】对卧室的光线避光敏感度？,必须绝对全黑（要求遮光率 100%）|可以有微弱光线|喜欢被早上自然光叫醒
单选题,【05治愈与防御】为了获取极致安静，是否愿意牺牲卧室 5-10cm 层高做一个【架空隔音地台 (STC50+)】？,愿意，安静大过天|没必要，常规找平即可
填空题,【06灵魂审判】您最痛恨的家务死角是什么？,
填空题,【06灵魂审判】扫地机器人目前在您家最容易卡住的地方？,
单选题,【06灵魂审判】晾衣服的偏好？,绝对不想在客厅看到挂着衣服，全靠烘干机|必须有阳光紫外线杀毒的执念
单选题,【06灵魂审判】主理人拷问1：关于“家务”与“面子”,绝对的极简无死角（完全为好用服务）|愿意为了表面奢华而每天增加家务
单选题,【06灵魂审判】主理人拷问2：关于“收纳哲学”,功能即美：把80%杂物全部隐藏|展示即美：喜欢做满墙开放格子
单选题,【06灵魂审判】主理人拷问3：当“好用”与“好看”发生致命冲突时底线,无条件让步给功能性（AXS 极客精神）|必须兼顾好看，哪怕牺牲体验
单选题,【07视觉与终局】在满足极致功能的前提下，您目前最倾向的“表层视觉风格”是？,日式侘寂风 (木质温润 / 留白原生态)|现代奶油风 (弧线治愈 / 低饱和度)|极简新中式 (东方意境 / 稳重禅意)|意式极简 (冷峻高级黑白灰)|欧式奢华/法式复古 (⚠️红色警戒线)
填空题,【07视觉与终局】未来 5 年内，家庭最可能发生的重大人口/习惯变数？,
填空题,【07视觉与终局】您对现在居住的房屋，最不能忍受的一个状态是？,
填空题,【07视觉与终局】终极一问：如果这次新家只能解决一个执念，您希望是什么？,
